"STATION_ID","Area","Class","WY","Geomean","N"
"P37","ENP","Interior",2018,0.724148873179336,7
"S10A","Refuge","Outflow",2018,0.998120636873546,3
"S10A","WCA2","Inflow",2018,0.998120636873546,3
"S10C","Refuge","Outflow",2018,1.04961054506359,4
"S10C","WCA2","Inflow",2018,1.04961054506359,4
"S10D","Refuge","Outflow",2018,1.45876806803258,4
"S10D","WCA2","Inflow",2018,1.45876806803258,4
"S11A","WCA2","Outflow",2018,1.3126713992639,14
"S11A","WCA3","Inflow",2018,1.3126713992639,14
"S11B","WCA2","Outflow",2018,1.30989666905213,6
"S11B","WCA3","Inflow",2018,1.30989666905213,6
"S11C","WCA2","Outflow",2018,1.44675450717993,8
"S11C","WCA3","Inflow",2018,1.44675450717993,8
"S12A","ENP","Inflow",2018,0.75889069369442,29
"S12A","WCA3","Outflow",2018,0.75889069369442,29
"S12B","ENP","Inflow",2018,0.699396158890309,26
"S12B","WCA3","Outflow",2018,0.699396158890309,26
"S12C","ENP","Inflow",2018,0.678586947857757,34
"S12C","WCA3","Outflow",2018,0.678586947857757,34
"S140","WCA3","Inflow",2018,1.29264017790379,19
"S142","WCA3","Outflow",2018,NA,0
"S145","WCA2","Outflow",2018,NA,0
"S150","WCA3","Inflow",2018,1.71664828224324,18
"S18C","ENP","Inflow",2018,0.68699638654029,38
"S190","WCA3","Inflow",2018,1.27522100425935,11
"S31","WCA3","Outflow",2018,NA,0
"S333","ENP","Inflow",2018,1.16660555713339,317
"S333","WCA3","Outflow",2018,1.16660555713339,317
"S344","WCA3","Outflow",2018,NA,0
"S355A","ENP","Inflow",2018,NA,0
"S355A","WCA3","Outflow",2018,NA,0
"S355B","ENP","Inflow",2018,NA,0
"S355B","WCA3","Outflow",2018,NA,0
"S38","WCA2","Outflow",2018,1.19374219869176,23
"S39","Refuge","Outflow",2018,1.09872780546419,14
"S7","WCA2","Inflow",2018,1.54809784906051,28
"S8","WCA3","Inflow",2018,1.38522265903805,23
"S9","WCA3","Inflow",2018,1.40607242504808,29
"S9A","WCA3","Inflow",2018,1.48314407727778,13
"TSB","ENP","Interior",2018,0.725252042027139,8
"U3","WCA2","Interior",2018,1.38310085837682,7
"US41-25","WCA3","Outflow",2018,0.779150833730652,21
"WCA2F1","WCA2","Interior",2018,1.32571503976805,5
"WCA2F2","WCA2","Interior",2018,1.25693351652814,6
"WCA2F4","WCA2","Interior",2018,1.24504974367673,6
"2AN.25","WCA2","Interior",2018,1.8788414359022,12
"2AN1","WCA2","Interior",2018,1.76519513362868,12
"2AN2","WCA2","Interior",2018,1.64435030737221,10
"2AN4","WCA2","Interior",2018,1.53934867941142,12
"2AN6","WCA2","Interior",2018,1.41902758981085,9
"404C2","WCA2","Interior",2018,1.52460795695902,8
"C0.25","WCA2","Interior",2018,1.66379647753978,11
"FS0.25","WCA2","Interior",2018,1.96007125652349,10
"FS1","WCA2","Interior",2018,1.76123748637496,9
"G344E","WCA3","Inflow",2018,1.15614363031799,17
"G344F","WCA3","Inflow",2018,1.17582899609474,16
"G344G","WCA3","Inflow",2018,1.24387118937514,19
"G344H","WCA3","Inflow",2018,1.17713979178278,20
"G344I","WCA3","Inflow",2018,1.21598129297958,21
"G344J","WCA3","Inflow",2018,1.23755927492658,21
"G344K","WCA3","Inflow",2018,1.24792644511,21
"G352B","WCA3","Inflow",2018,1.39963360806367,14
"G436","WCA2","Inflow",2018,1.76578085472664,21
"LOXA104","Refuge","Rim",2018,1.73880575252191,12
"LOXA104.5","Refuge","Interior",2018,1.35051150753337,9
"LOXA105","Refuge","Interior",2018,1.0357742992133,9
"LOXA106","Refuge","Interior",2018,0.936331267396847,7
"LOXA107","Refuge","Interior",2018,0.789445997823247,6
"LOXA107U","Refuge","Interior",2018,0.972989975463851,6
"LOXA108","Refuge","Interior",2018,1.04182532880876,6
"LOXA135","Refuge","Rim",2018,1.54047689266042,12
"LOXA136","Refuge","Interior",2018,1.56319338836609,7
"LOXA137","Refuge","Interior",2018,1.41770378481206,8
"LOXA138","Refuge","Interior",2018,1.34892557145602,8
"LOXA139","Refuge","Interior",2018,1.21906535100709,7
"S332DX","ENP","Inflow",2018,0.92212414493191,54
"S362","Refuge","Inflow",2018,1.48802243393437,24
"WCA2C4","WCA2","Interior",2018,1.48286500837089,8
"WCA2C5","WCA2","Interior",2018,1.40926281281918,7
"Z0","Refuge","Rim",2018,1.59787589287367,22
"Z1","Refuge","Interior",2018,1.27860192132351,10
"Z2","Refuge","Interior",2018,0.904445249111088,16
"Z3","Refuge","Interior",2018,0.670967144122664,22
"Z4","Refuge","Interior",2018,0.810923862981157,22
